Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>"
3360705843,"Apr 27, 2020, 11:15:26 AM",Lunch Run,Run,,1279,4.49,,FALSE,,activities/3591265736.fit.gz,63.40000153,,1279,1279,4498.399902,4.599999905,3.517122746,31,29,5,97.80000305,4.199999809,0.035568204,,,86,81.16666412,,,,,311,,18,,,,,,,,,,,,,,0,,1,4529,,,,,,,,,,,,,,,,,,,,,,,,,,,
3370375603,"Apr 29, 2020, 12:25:29 PM",Afternoon Run,Run,,1418,5,,FALSE,,activities/3601452773.fit.gz,63.40000153,,1418,1418,5005.799805,4.699999809,3.530183315,34,31,17.79999924,159.6000061,5.400000095,0.047944386,,,88,81.57849884,,,,,348,,18,,,,,,,,,,,,,,0,,1,5035.100098,,,,,,,,,,,,,,,,,,,,,,,,,,,
3379490804,"May 1, 2020, 12:04:50 PM",Afternoon Run,Run,,1460,5,,FALSE,,activities/3610999958.fit.gz,63.40000153,,1460,1460,5004.600098,4.400000095,3.427808285,36,39,-44.20000076,40.59999847,6.099999905,-0.079926468,,,88,81.69067383,,,,,348,,18,,,,,,,,,,,,,,0,,1,5035.899902,,,,,,,,,,,,,,,,,,,,,,,,,,,
3413872288,"May 7, 2020, 3:57:06 PM",Afternoon Run,Run,,1483,5,,FALSE,,activities/3646821539.fit.gz,63.40000153,,1483,1483,5003.600098,4.300000191,3.373971701,32,33,-100.4000015,37.59999847,6.400000095,-0.043968342,,,85,82.23144531,,,,,347,,21,,,,,,,,,,,,,,0,,1,5034.200195,,,,,,,,,,,,,,,,,,,,,,,,,,,
3422882825,"May 9, 2020, 9:16:03 AM",Morning Run,Run,,1476,5,,FALSE,,activities/3656392323.fit.gz,63.40000153,,1476,1476,5004.100098,7.800000191,3.390311718,44,43,12,45,6.400000095,0.007993446,,,86,83.40068054,,,,,345,,22,,,,,,,,,,,,,,0,,1,5055.600098,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461952369,"May 16, 2020, 6:01:07 PM",Evening Run,Run,,1446,5,,FALSE,,activities/3697434283.fit.gz,63.40000153,,1446,1446,5003.100098,4.300000191,3.459958553,32,34,-66.80000305,21,4.5,-0.063960344,,,86,82.32571411,,,,,347,,17,,,,,,,,,,,,,,0,,1,5033.600098,,,,,,,,,,,,,,,,,,,,,,,,,,,
3475861110,"May 19, 2020, 10:00:03 AM",Lunch Run,Run,,1475,5.01,,FALSE,,activities/3712115566.fit.gz,63.40000153,,1475,1475,5012.100098,4.5,3.398033857,41,42,21.20000076,39.20000076,14,-0.015961373,,,85,82.75480652,,,,,347,,20,,,,,,,,,,,,,,0,,1,5073.899902,,,,,,,,,,,,,,,,,,,,,,,,,,,
3482105945,"May 20, 2020, 12:13:51 PM",Afternoon Run,Run,,1471,5.01,,FALSE,,activities/3718650545.fit.gz,63.40000153,,1471,1471,5010.700195,4.5,3.406322241,40,41,6,21,8.600000381,0.015965832,,,86,82.93133545,,,,,345,,20,,,,,,,,,,,,,,0,,1,5069.299805,,,,,,,,,,,,,,,,,,,,,,,,,,,
3566748839,"May 24, 2020, 11:26:01 AM",Lunch Run,Run,,713,2.67,,FALSE,,activities/3808169519.fit.gz,,,713,713,2669.199951,9.899999619,3.743618488,139,14,-111.5999985,19.39999962,29,4.735501289,,,85,83.04488373,,,,,182,,20,,,,,,,,,,,,,,0,,1,3482.699951,,,,,,,,,,,,,,,,,,,,,,,,,,,
3566749237,"May 24, 2020, 11:41:40 AM",Lunch Run,Run,,596,2,,FALSE,,activities/3808169913.fit.gz,,,596,596,2005.5,4.099999905,3.364932775,11,12,11.80000019,24.20000076,44.29999924,0,,,85,82.61383057,,,,,139,,23,,,,,,,,,,,,,,0,,1,2031.599976,,,,,,,,,,,,,,,,,,,,,,,,,,,
